yyyymm,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt - Rf,Rf
7/1/2017,-0.13,-1.17,2.18,2.07,3.74,5.27,0.13,0.7,2.98,1.49,1.87,0.07
8/1/2017,-1.73,-0.1,0.27,-5.09,3.08,-2.64,-1.67,2.58,2.2,-0.38,0.16,0.09
9/1/2017,-0.33,5.28,4.17,10.95,0.65,-1.67,2.43,2.05,-1.97,4.36,2.51,0.09
10/1/2017,0.09,1.25,2.82,0.49,6.88,-5.68,2.71,-2.27,3.07,2.08,2.25,0.09
11/1/2017,4.11,-0.57,3.58,2.99,0.98,3.76,8.04,2.46,2.42,3.89,3.12,0.08
12/1/2017,2.01,-0.89,2.29,5.01,-0.12,4.47,2.47,-0.17,-5.02,1.47,1.06,0.09
1/1/2018,1.9,2.61,4.17,2.86,7.78,3.13,9.36,6.37,-2.83,5.95,5.58,0.11
2/1/2018,-6.22,-6.04,-3.97,-10.74,-0.05,-7.12,-4.72,-3.53,-4.52,-3.31,-3.65,0.11
3/1/2018,-1.05,-5.61,-2.16,2.97,-3.29,-2.6,-2.52,-2.42,3.2,-2.69,-2.35,0.12
4/1/2018,-3.96,-0.14,-3.34,10.01,-0.05,-2.38,3.91,-0.04,2.77,0.47,0.29,0.14
5/1/2018,-0.51,2.97,2.56,3.43,6.82,-0.85,0.91,2.29,0.21,1.22,2.65,0.14
6/1/2018,4.52,0.73,-0.92,0.55,-0.3,6.44,3.05,1.49,2.61,-1.04,0.48,0.14
7/1/2018,2.8,-1.56,5.09,1.12,2.27,2.71,3.21,5.99,1.73,3.97,3.19,0.16
8/1/2018,-1.07,-0.56,-0.26,-2.84,7.29,3.08,8.04,4.4,0.91,2.46,3.44,0.16
9/1/2018,0.71,-3.79,1.35,3.35,-0.2,1.64,0.63,2.14,-0.55,-1.21,0.06,0.15
10/1/2018,-0.24,-3.18,-9.9,-11.87,-8.79,-0.34,-8.75,-8.7,-0.06,-6.63,-7.68,0.19
11/1/2018,0.46,5.17,4.6,-2.17,-1.55,2.62,2.47,6.46,3.27,3.02,1.69,0.18
12/1/2018,-11.23,-11.43,-8.68,-13.02,-8.09,-8.77,-9.06,-8.18,-4.75,-10.62,-9.55,0.19
1/1/2019,7.3,10.73,9.73,10.32,9.56,5.56,8.2,5.25,5.41,9.18,8.41,0.21
2/1/2019,1.42,3.97,5.27,2.46,5.66,3.25,0.78,3.23,3.62,2.71,3.4,0.18
3/1/2019,3.68,-5.29,-0.81,1.99,3.75,0.39,3.37,0.48,3.32,-1.31,1.1,0.19
4/1/2019,3.19,3.35,4.05,0.25,5.96,6.31,4.59,-3.13,1.02,6.66,3.96,0.21
5/1/2019,-5.54,-12.09,-9.16,-11.81,-8.44,-2.97,-6.04,-3.37,-1.54,-6.3,-6.94,0.21
6/1/2019,4.93,13.01,8.13,8.86,7.9,4.96,7.14,6.84,3.64,6.71,6.93,0.18
7/1/2019,1.73,1.02,0.88,-2.67,3.63,1.91,0.91,-2.19,-0.99,1.64,1.19,0.19
8/1/2019,-1.33,-4.33,-1.63,-8.74,-2.74,0.43,0.07,-0.61,3.44,-4.47,-2.58,0.16
9/1/2019,1.85,3.28,3.9,3.71,0.97,1.44,0.77,-0.94,3.92,2.01,1.43,0.18
10/1/2019,-0.02,7.3,-0.11,-2.07,3.2,2.25,0.73,4.73,-1.42,3.04,2.06,0.15
11/1/2019,2.19,2.74,3.27,1.21,5.09,1.91,2.16,5.53,-2.15,4.98,3.87,0.12
12/1/2019,3.53,5.07,1.45,6.18,3.7,1.23,1.37,3.45,4.13,2.4,2.77,0.14
1/1/2020,-0.38,5.89,-2.95,-11.87,3.32,-1.99,0.93,-2.01,4.83,-1.38,-0.11,0.13
2/1/2020,-8.73,-7.29,-8.59,-15.3,-6.94,-5.95,-6.8,-5.39,-9.85,-9.84,-8.13,0.12
3/1/2020,-11.49,-22.76,-16.79,-34.49,-9.74,-13.37,-7.6,-5,-13.01,-18.88,-13.38,0.12
4/1/2020,8.01,25.86,10.94,32.38,15.27,9.56,18.04,13.41,5.07,10.54,13.65,0
5/1/2020,3.3,7.22,5.98,0.52,8.24,4.78,4.42,4.05,4.56,3.88,5.58,0.01
6/1/2020,-0.03,14.31,2.51,-0.4,6.04,-2.52,4.2,-1.52,-5.02,-0.07,2.46,0.01
7/1/2020,5.87,18.43,4.49,-4.8,6.94,5.07,9.5,4.43,6.37,3.83,5.77,0.01
8/1/2020,4.45,40.19,6.33,-1.07,10.5,5.52,8.16,2.45,-2.25,7.2,7.63,0.01
9/1/2020,-1.98,-8.97,-0.02,-14.9,-5.1,-2.12,-3.87,-1.47,-0.27,-2.98,-3.63,0.01
10/1/2020,-2.56,-3.29,-0.76,-4.53,-1.82,-3.85,-2.57,-4.42,4.49,-1.88,-2.1,0.01
11/1/2020,10.02,33.85,13.86,28.46,10.81,14.43,8.38,9.51,2.63,15.76,12.47,0.01
12/1/2020,5,15.65,2.6,6.16,4.96,5.29,1.49,4.77,0.63,5.27,4.63,0.01
1/1/2021,-4.11,11.45,-2.49,4.64,0.56,-3.42,0,3.19,-0.4,-2.82,-0.03,0
2/1/2021,1.35,-7.93,5.59,23.31,1.64,4.5,-1.65,-1.37,-4.6,9.54,2.78,0
3/1/2021,7.21,0.59,7.54,2.27,0.74,1.59,5.54,0.13,10.35,5.63,3.08,0
4/1/2021,3.36,4.37,2.54,0.71,6.55,3.15,7.06,2.89,3.98,5.82,4.93,0
5/1/2021,1.93,-5.26,2.7,6.13,-0.87,-0.83,-2.21,0.02,-1.17,2.94,0.29,0
6/1/2021,-0.74,5.66,-0.8,5.5,6.94,-0.12,2.84,4.28,-1.42,-2.46,2.75,0
